"id","type","model","model_id","category","title","detail","url","status","priority","created","modified"
"","ブログ","BlogContent","1","","ニュースリリース","Baser CMS inc. [デモ] の最新のニュースリリースをお届けします。","/news/index","1","0.5","",""
"","メール","MailContent","1","","お問い合わせ","* 印の項目は必須となりますので、必ず入力してください。","/contact/index","1","0.5","",""
"","ページ","Page","10","","会社案内","baserCMS inc.の会社案内ページ 会社データ会社名baserCMS inc. [デモ]設立2009年11月所在地福岡県福岡市博多区博多駅前（ダミー）事業内容インターネットサービス業（ダミー）WEBサイト制作事業（ダミー）WEBシステム開発事業（ダミー）アクセスマップvar latlng = new google.maps.LatLng(33.6065756,130.4182970);var options = {zoom: 16,center: latlng,mapTypeId: google.maps.MapTypeId.ROADMAP,navigationControl: true,mapTypeControl: true,scaleControl: true};var map = new google.maps.Map(document.getElementById(""map""), options);var marker = new google.maps.Marker({position: latlng,map: map,title:""baserCMS inc. [デモ]""});var infowindow = new google.maps.InfoWindow({content: 'baserCMS inc. [デモ]福岡県'});infowindow.open(map,marker);google.maps.event.addListener(marker, 'click', function() {infowindow.open(map,marker);});","/about","1","0.5","",""
"","ページ","Page","11","","使用できるページ装飾一覧","「logical_jp」テーマで使用できる、HTMLタグのページ装飾のサンプルです。 h2要素夏目漱石 吾輩は猫である吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。h3要素吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれは書生という人間中で一番獰悪な種族であったそうだ。h4要素この書生というのは時々我々を捕えて煮て食うという話である。しかしその当時は何という考もなかったから別段恐しいとも思わなかった。ただ彼の掌に載せられてスーと持ち上げられた時何だかフワフワした感じがあったばかりである。h5要素掌の上で少し落ちついて書生の顔を見たのがいわゆる人間というものの見始であろう。この時妙なものだと思った感じが今でも残っている。第一毛をもって装飾されべきはずの顔がつるつるしてまるで薬缶だ。h6要素その後猫にもだいぶ逢ったがこんな片輪には一度も出会わした事がない。のみならず顔の真中があまりに突起している。h3要素ですが見た目がh2になっていますそうしてその穴の中から時々ぷうぷうと煙を吹く。どうも咽せぽくて実に弱った。これが人間の飲む煙草というものである事はようやくこの頃知った。h4要素ですが見た目がh3になっていますこの書生の掌の裏でしばらくはよい心持に坐っておったが、しばらくすると非常な速力で運転し始めた。h5要素ですが見た目がh4になっています書生が動くのか自分だけが動くのか分らないが無暗に眼が廻る。胸が悪くなる。到底助からないと思っていると、どさりと音がして眼から火が出た。h6要素ですが見た目がh5になっていますそれまでは記憶しているがあとは何の事やらいくら考え出そうとしても分らない。p要素ですが見た目がh6になっていますふと気が付いて見ると書生はいない。たくさんおった兄弟が一疋も見えぬ。肝心の母親さえ姿を隠してしまった。&darr;&darr;&darr;&darr;クリックすると画像がポップアップします（画像をアップロードしてください）その上今までの所とは違って無暗に明るい。眼を明いていられぬくらいだ。はてな何でも容子がおかしいと、のそのそ這い出して見ると非常に痛い。吾輩は藁の上から急に笹原の中へ棄てられたのである。▼水平線です特殊なリンクボタン風リンクですdocファイルへリンクするとアイコンがつきますdocxファイルへリンクするとアイコンがつきますxlsファイルへリンクするとアイコンがつきますxlsxファイルへリンクするとアイコンがつきますPDFファイルへリンクするとアイコンがつきますリスト関連マーク付きのリストですマーク付きのリストです番号付きのリストです番号付きのリストです番号付きのリストですマーク付きのリストです番号付きのリストです番号付きのリストですマーク付きのリストですマーク付きのリストですマーク付きのリストです番号付きのリストです定義語の見出し(dt要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義語の見出し(dt要素)です定義語の見出し(dt要素)です定義語の見出し(dt要素)です定義語の見出し(dt要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義語の見出し(dt要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)ですCMSとは、Contents Management Systemの略で、プログラムを使ってウェブサイトを管理・更新するシステムを指します。※注意書きです。マークが左に飛び出します。注意書きです。マークが左に飛び出します。※注意書きです。マークが左に飛び出します。注意書きです。マークが左に飛び出します。注意書きです。マークが左に飛び出します。注意書きです。マークが左に飛び出します。※注意書きです。マークが左に飛び出します。注意書きです。マークが左に飛び出します。注意書きです。マークが左に飛び出します。表・枠th要素ですth要素ですth要素ですth要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですth要素ですth要素ですtd要素ですtd要素ですtd要素ですtd要素です飾り枠１です飾り枠２です引用文です段組二段組横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です三段組横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です&nbsp;","/htmlsample","1","0.5","",""
"","ページ","Page","12","","logical_jp専用トップページ","logical_jp専用トップページの説明文です これは「logical_jp」専用のトップページです。 特定のページへのピックアップを表示できます。利用する場合は、現在のトップページ（ページ名がindexになっているページ）と、このページを入れ替えてください。ピックアップ：「logical_jp」テーマについて「logical_jp」は、日本の小・中規模のコーポレートサイトに最も適したデザイン・構成になるよう制作したテーマです。もっと詳しく","/index","1","0.5","",""
"","ページ","Page","13","","サイトマップ","baserCMS inc.のサイトマップページ 会社案内使用できるページ装飾一覧logical_jp専用トップページサイトマップ新着情報お問い合わせ","/sitemap","1","0.5","",""
"","ページ","Page","14","logical","logical_jpについて","日本の小・中規模のコーポレートサイト向けのテーマ「logical_jp」のご紹介です。 「logical_jp」は、日本の小・中規模のコーポレートサイトに最も適したデザイン・構成になるよう制作したテーマです。各種ソーシャルネットワーキングサービスとの連携を強化し、スマートフォン、タブレット等でも快適に閲覧できるよう、レスポンシブデザインを採用しています。トップページのエントリーについてトップページのコンテンツは、以下の３パートに分かれています。ピックアップ：指定したエントリー１件写真＋概要＋タイトル一覧：指定したエントリー３件日付＋タイトル一覧：ブログの新着エントリー５件「ピックアップ」は、専用トップページのページ本文を編集します。「写真＋概要＋タイトル一覧」は、テーマ内の「config/bootstrap.php」ファイルを編集して、表示する内容を設定する必要があります。ナビゲーションについてサイトの上下のナビゲーションは、管理画面の「システム管理＞メニュー管理」で編集可能です。上のナビゲーションは二階層まで対応していますが、現在のバージョンのbaserCMSでは、一階層のメニューを一種類しか作成できません。二階層にしたい場合、上下でメニューを変更したい場合は、テーマの直接編集が必要となります。","/logical/index","1","0.5","",""
"","ページ","Page","15","logical","ポイント１：日本のウェブサイトに最適化","logical_jpテーマのポイントのご紹介です。 文字組WordPress・MovableTypeなどの、多くのフリーテーマは、アメリカなどの英語圏で利用されることを想定して作られています。こういったテーマを文字の画数が多く、フォントの種類が少ない日本語サイトに使用すると、文字が小さすぎたり、行間が整っていないため読みにくいという問題が生じます。logical_jpの作者は、日本のWebクリエイターです。日本の一般的な閲覧環境・フォントで最も見やすい文字組になるよう、本文・ナビゲーション・見出しレベルを調整しています。カラーリング日本人のウェブサイトに対する好みは、欧米とは大きく異なっています。欧米では背景に濃い色を使用したり、強めの効果をかけたウェブサイトも好まれますが、日本では白をベースとした、自然光に近い配色が主流となっています。logical_jpは現在、キーカラーにグレーとブルーを選択できます。今後、レッド・グリーン・ブラウン・ブラックを追加予定です。余談ですが、作者のおすすめはブルーです。グレーはオリジナル配色の素体としてお使いください。よくあるページ装飾を簡単にウェブサイトでよく見かける、「くわしくはこちら」ボタンや横二段・三段組などを、簡単なHTMLの記述で表現できます。また、PDF・Word・Excelファイルへリンクすると、自動でアイコンが付与されます。（もちろん、外部ファイルだらけのウェブサイトは良くないのですが）サンプルはこちらのページをご覧ください。使用できるページ装飾一覧","/logical/point01","1","0.5","",""
"","ページ","Page","16","logical","ポイント２：ソーシャルメディア対応","logical_jpテーマは、日本でよく利用されているソーシャルネットワーキングサービスに対応しています。 ソーシャルプラグインlogical_jpテーマは、日本でよく利用されているソーシャルネットワーキングサービスの機能を実装しています。また、中国圏向けに、中国の人気SNS「weibo」にも対応しています。現在、テーマ内で実装されているのは以下のプラグインです。シェアボタンTwitter: ツイートFacebook: いいね！Google: +1mixi: イイネ！はてなブックマーク: ブックマークするweibo: 投稿するその他Facebook: コメントFacebook: Facebookページ紹介枠OGP(Open Graph Protocol)logical_jpはシェアには欠かせない、OGPにも対応しています。baserCMSの仕様の関係で実装できなかったものもありますが（og:titleは非対応です）、必須となっているog:imageや、ドメインインサイトを利用するために必要なfb:adminsも実装しています。設定は、テーマ内のconfig/bootstrap.phpで行ってください。スマートフォン対策logical_jpはスマートフォン兼用のテーマでもあります。デスクトップ環境向けのテーマをスマートフォンで利用すると、大量のリクエストが発生し、表示が遅くなる問題があります。logical_jpは、スマートフォン・タブレットでの閲覧と判断した場合、余分なソーシャルプラグインを読み込まないという対策を行うことで、できるだけの軽量化を行っています。また、狭い画面の状態（700ピクセル以下）でアクセスした場合は、Facebookコメント・Facebookページの紹介枠が画面にあわせて伸縮します。","/logical/point02","1","0.5","",""
"","ページ","Page","17","logical","ポイント３：スマートフォン・タブレットでも快適","logical_jpは、アクセス時の画面サイズでレイアウトを変更する、レスポンシブレイアウトを採用しています。 logical_jpは、アクセス時の画面サイズでレイアウトを変更する、レスポンシブレイアウトを採用しています。タブレット横、タブレット縦、スマートフォンで、それぞれ最適なレイアウトを表示し、メールフォーム・コメントフォームも最適化されます。HTML5とCSS3logical_jpは、baserCMSの機能で可能な範囲で、HTML5の文書形式で制作しています。また、対応しているブラウザに対しては、CSS3によるリッチな演出も自動で追加されます。ほとんどのCSS3に非対応のInternet Explorer 8以前でも、見た目は若干地味になりますが、問題なく閲覧が可能です。作者の推薦環境はGoogle Chromeの最新版です。","/logical/point03","1","0.5","",""
"","ページ","Page","18","","サービス","baserCMS inc.のサービス紹介ページ。 サービスサービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。","/service","1","0.5","",""
"","ページ","Page","1","","会社案内","baserCMS inc.の会社案内ページ 会社データ会社名baserCMS inc. [デモ]設立2009年11月所在地福岡県福岡市博多区博多駅前（ダミー）事業内容インターネットサービス業（ダミー）WEBサイト制作事業（ダミー）WEBシステム開発事業（ダミー）アクセスマップvar latlng = new google.maps.LatLng(33.6065756,130.4182970);var options = {zoom: 16,center: latlng,mapTypeId: google.maps.MapTypeId.ROADMAP,navigationControl: true,mapTypeControl: true,scaleControl: true};var map = new google.maps.Map(document.getElementById(""map""), options);var marker = new google.maps.Marker({position: latlng,map: map,title:""baserCMS inc. [デモ]""});var infowindow = new google.maps.InfoWindow({content: 'baserCMS inc. [デモ]福岡県'});infowindow.open(map,marker);google.maps.event.addListener(marker, 'click', function() {infowindow.open(map,marker);});","/about","1","0.5","",""
"","ページ","Page","2","","使用できるページ装飾一覧","「logical_jp」テーマで使用できる、HTMLタグのページ装飾のサンプルです。 h2要素夏目漱石 吾輩は猫である吾輩は猫である。名前はまだ無い。どこで生れたかとんと見当がつかぬ。何でも薄暗いじめじめした所でニャーニャー泣いていた事だけは記憶している。h3要素吾輩はここで始めて人間というものを見た。しかもあとで聞くとそれは書生という人間中で一番獰悪な種族であったそうだ。h4要素この書生というのは時々我々を捕えて煮て食うという話である。しかしその当時は何という考もなかったから別段恐しいとも思わなかった。ただ彼の掌に載せられてスーと持ち上げられた時何だかフワフワした感じがあったばかりである。h5要素掌の上で少し落ちついて書生の顔を見たのがいわゆる人間というものの見始であろう。この時妙なものだと思った感じが今でも残っている。第一毛をもって装飾されべきはずの顔がつるつるしてまるで薬缶だ。h6要素その後猫にもだいぶ逢ったがこんな片輪には一度も出会わした事がない。のみならず顔の真中があまりに突起している。h3要素ですが見た目がh2になっていますそうしてその穴の中から時々ぷうぷうと煙を吹く。どうも咽せぽくて実に弱った。これが人間の飲む煙草というものである事はようやくこの頃知った。h4要素ですが見た目がh3になっていますこの書生の掌の裏でしばらくはよい心持に坐っておったが、しばらくすると非常な速力で運転し始めた。h5要素ですが見た目がh4になっています書生が動くのか自分だけが動くのか分らないが無暗に眼が廻る。胸が悪くなる。到底助からないと思っていると、どさりと音がして眼から火が出た。h6要素ですが見た目がh5になっていますそれまでは記憶しているがあとは何の事やらいくら考え出そうとしても分らない。p要素ですが見た目がh6になっていますふと気が付いて見ると書生はいない。たくさんおった兄弟が一疋も見えぬ。肝心の母親さえ姿を隠してしまった。&darr;&darr;&darr;&darr;クリックすると画像がポップアップします（画像をアップロードしてください）その上今までの所とは違って無暗に明るい。眼を明いていられぬくらいだ。はてな何でも容子がおかしいと、のそのそ這い出して見ると非常に痛い。吾輩は藁の上から急に笹原の中へ棄てられたのである。▼水平線です特殊なリンクボタン風リンクですdocファイルへリンクするとアイコンがつきますdocxファイルへリンクするとアイコンがつきますxlsファイルへリンクするとアイコンがつきますxlsxファイルへリンクするとアイコンがつきますPDFファイルへリンクするとアイコンがつきますリスト関連マーク付きのリストですマーク付きのリストです番号付きのリストです番号付きのリストです番号付きのリストですマーク付きのリストです番号付きのリストです番号付きのリストですマーク付きのリストですマーク付きのリストですマーク付きのリストです番号付きのリストです定義語の見出し(dt要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義語の見出し(dt要素)です定義語の見出し(dt要素)です定義語の見出し(dt要素)です定義語の見出し(dt要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義語の見出し(dt要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)です定義内容(dd要素)ですCMSとは、Contents Management Systemの略で、プログラムを使ってウェブサイトを管理・更新するシステムを指します。※注意書きです。マークが左に飛び出します。注意書きです。マークが左に飛び出します。※注意書きです。マークが左に飛び出します。注意書きです。マークが左に飛び出します。注意書きです。マークが左に飛び出します。注意書きです。マークが左に飛び出します。※注意書きです。マークが左に飛び出します。注意書きです。マークが左に飛び出します。注意書きです。マークが左に飛び出します。表・枠th要素ですth要素ですth要素ですth要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですtd要素ですth要素ですth要素ですtd要素ですtd要素ですtd要素ですtd要素です飾り枠１です飾り枠２です引用文です段組二段組横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です横２段組です三段組横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です横３段組です&nbsp;","/htmlsample","1","0.5","",""
"","ページ","Page","3","","logical_jp専用トップページ","logical_jp専用トップページの説明文です これは「logical_jp」専用のトップページです。 特定のページへのピックアップを表示できます。利用する場合は、現在のトップページ（ページ名がindexになっているページ）と、このページを入れ替えてください。ピックアップ：「logical_jp」テーマについて「logical_jp」は、日本の小・中規模のコーポレートサイトに最も適したデザイン・構成になるよう制作したテーマです。もっと詳しく","/index","1","0.5","",""
"","ページ","Page","4","","サイトマップ","baserCMS inc.のサイトマップページ logical_jp専用トップページ会社案内サービス使用できるページ装飾一覧サイトマップ新着情報お問い合わせ","/sitemap","1","0.5","",""
